first_name,last_name,wins,losses,draws,weight_class,title_holder,fighter_status
Carlos,Condit,30.0,12.0,0.0,Welterweight,False,Active
Sergio,Pettis,17.0,3.0,0.0,Flyweight,False,Active
Ryan,Spann,10.0,5.0,0.0,Light_Heavyweight,False,Active
Matt,Sayles,6.0,1.0,0.0,Featherweight,False,Active
Miesha,Tate,18.0,7.0,0.0,Women_Bantamweight,False,NotFighting
Kiichi,Kunimoto,19.0,6.0,2.0,Welterweight,False,Active
Aleksei,Oleinik,56.0,11.0,1.0,Heavyweight,False,Active
Karl,Roberson,6.0,1.0,0.0,Middleweight,False,Active
Yazan,Hajeh,6.0,0.0,0.0,Featherweight,False,Active
Danny,Roberts,14.0,3.0,0.0,Welterweight,False,Active
Gabriel,Checco,10.0,2.0,0.0,Middleweight,False,Active
Anthony,Hernandez,6.0,0.0,0.0,Middleweight,False,Active
Cub,Swanson,25.0,8.0,0.0,Featherweight,False,Active
Adam,Khaliev,6.0,0.0,0.0,Welterweight,False,Active
Sam,Alvey,33.0,10.0,0.0,Light_Heavyweight,False,Active
Francis,Ngannou,11.0,2.0,0.0,Heavyweight,False,Active
Mike,Perry,11.0,3.0,0.0,Welterweight,False,Active
Chase,Waldon,11.0,3.0,0.0,Middleweight,False,Active
Jordan,Wright,9.0,0.0,0.0,Middleweight,False,Active
Alex,Garcia,15.0,4.0,0.0,Welterweight,False,Active
Claudio,Silva,11.0,1.0,0.0,Welterweight,False,Active
Alexa,Grasso,10.0,2.0,0.0,Women_Strawweight,False,Active
Alonzo,Menifield,7.0,0.0,0.0,Light_Heavyweight,False,Active
Giga,Chikadze,5.0,1.0,0.0,Featherweight,False,Active
Gegard,Mousasi,42.0,6.0,2.0,Middleweight,False,NotFighting
Luis,Henrique,10.0,4.0,0.0,Heavyweight,False,Active
Jason,Gonzalez,11.0,4.0,0.0,Lightweight,False,Active
Daniel,Jolly,5.0,3.0,0.0,Light_Heavyweight,False,Active
Andre,Fili,18.0,5.0,0.0,Featherweight,False,Active
Kevin,Lee,16.0,4.0,0.0,Lightweight,False,Active
Marcos Rogerio,De Lima,15.0,6.0,1.0,Light_Heavyweight,False,Active
Albert,Morales,7.0,4.0,1.0,Bantamweight,False,Active
Dan,Ige,9.0,2.0,0.0,Featherweight,False,Active
Emiliano,Sordi,16.0,6.0,0.0,Light_Heavyweight,False,Active
Jorge,Masvidal,32.0,13.0,0.0,Welterweight,False,Active
Nico,Musoke,13.0,5.0,0.0,Welterweight,False,Active
Tony,Martin,12.0,4.0,0.0,Lightweight,False,Active
Alex,Oliveira,18.0,4.0,1.0,Welterweight,False,Active
Luis,Gomez,4.0,1.0,0.0,Featherweight,False,Active
Dwight,Grant,7.0,1.0,0.0,Welterweight,False,Active
Stefan,Struve,32.0,10.0,0.0,Heavyweight,False,Active
Bartosz,Fabinski,13.0,2.0,0.0,Middleweight,False,NotFighting
Matheus,Nicolau,13.0,2.0,1.0,Flyweight,False,Active
Phillip,Hawes,4.0,2.0,0.0,Middleweight,False,Active
Tyler,Hill,6.0,1.0,0.0,Welterweight,False,Active
Eddie,Wineland,23.0,12.0,1.0,Bantamweight,False,Active
Gabriel,Gonzaga,17.0,11.0,0.0,Heavyweight,False,NotFighting
Alex,Caceres,13.0,11.0,0.0,Featherweight,False,Active
Rashid,Magomedov,20.0,2.0,0.0,Lightweight,False,Active
Karolina,Kowalkiewicz,12.0,2.0,0.0,Women_Strawweight,False,Active
Julian,Marquez,7.0,1.0,0.0,Middleweight,False,Active
Antonina,Shevchenko,6.0,0.0,0.0,Women_Flyweight,False,Active
Wanderlei,Silva,35.0,12.0,1.0,Light_Heavyweight,False,NotFighting
Dominick,Cruz,22.0,2.0,0.0,Bantamweight,False,Active
Ronaldo,Candido ,6.0,1.0,0.0,Flyweight,False,Active
Silvana,Juarez,6.0,2.0,0.0,Women_Flyweight,False,Active
Mats,Nilsson,11.0,4.0,1.0,Welterweight,False,NotFighting
Carlos,Candelario ,7.0,0.0,0.0,Flyweight,False,Active
Austin,Tweedy,8.0,2.0,0.0,Lightweight,False,Active
Adlan,Amagov,13.0,2.0,1.0,Welterweight,False,NotFighting
Dominick,Reyes,9.0,0.0,0.0,Light_Heavyweight,False,Active
Te,Edwards,6.0,1.0,0.0,Lightweight,False,Active
Brian,Stann,12.0,6.0,0.0,Middleweight,False,NotFighting
Conor,McGregor,21.0,3.0,0.0,Lightweight,False,Active
Amanda,Lemos,6.0,1.0,1.0,Women_Bantamweight,False,Active
Rachael,Ostovich,4.0,3.0,0.0,Women_Flyweight,False,Active
Martin,Buschkamp,9.0,0.0,0.0,Featherweight,False,Active
Aleksandar,Rakic,8.0,1.0,0.0,Light_Heavyweight,False,Active
Oscar,Cota,10.0,1.0,0.0,Heavyweight,False,Active
Veronica,Macedo,5.0,2.0,1.0,Women_Flyweight,False,Active
James,Bochnovic,8.0,3.0,0.0,Middleweight,False,Active
Jamall,Emmers,13.0,4.0,0.0,Featherweight,False,Active
Trevin,Giles,11.0,0.0,0.0,Middleweight,False,Active
Sijara,Eubanks,4.0,2.0,0.0,Women_Flyweight,False,Active
Tim,Caron,9.0,2.0,0.0,Middleweight,False,Active
Derek,Brunson,18.0,6.0,0.0,Middleweight,False,Active
Cody,Stamann,17.0,1.0,0.0,Bantamweight,False,Active
Andrew,Todhunter,8.0,0.0,0.0,Middleweight,False,Active
Evan,Dunham,18.0,7.0,1.0,Lightweight,False,Active
Chris,Weidman,14.0,3.0,0.0,Middleweight,False,Active
Terrion,Ware,17.0,7.0,0.0,Bantamweight,False,Active
Angel,De Anda,18.0,6.0,0.0,Heavyweight,False,Active
Gillian,Robertson,5.0,2.0,0.0,,False,Active
Nick,Roehrick,7.0,1.0,0.0,Light_Heavyweight,False,Active
Montana,De La Rosa,8.0,4.0,0.0,Women_Flyweight,False,Active
Mark,Hominick,20.0,12.0,0.0,Featherweight,False,NotFighting
Tor,Troeng,16.0,7.0,1.0,Middleweight,False,NotFighting
Marcin,Held,23.0,7.0,0.0,Lightweight,False,Active
Kyler ,Phillips ,5.0,0.0,0.0,Bantamweight,False,Active
Michael,McBride,8.0,3.0,0.0,Lightweight,False,Active
